Word,Spelling Status
दिल,correct_spelling
था,correct_spelling
क्या,correct_spelling
क्यों,correct_spelling
मेरी,correct_spelling
वे,correct_spelling
फिर,correct_spelling
इस,correct_spelling
छोटी,correct_spelling
लिया,correct_spelling
तीन,correct_spelling
हूं,correct_spelling
देना,correct_spelling
करें,correct_spelling
पाँच,correct_spelling
बाद,correct_spelling
गए,correct_spelling
कर,correct_spelling
मेरा,correct_spelling
जिंदगी,correct_spelling
बड़ा,correct_spelling
वो,correct_spelling
करते,correct_spelling
सोच,correct_spelling
कौन,correct_spelling
होती,correct_spelling
हैं,correct_spelling
अभी,correct_spelling
कैसे,correct_spelling
हमारा,correct_spelling
इन,correct_spelling
समझना,correct_spelling
साल,correct_spelling
सौ,correct_spelling
गया,correct_spelling
का,correct_spelling
से,correct_spelling
जी,correct_spelling
रुपये,correct_spelling
होना,correct_spelling
में,correct_spelling
हुई,correct_spelling
कि,correct_spelling
लोग,correct_spelling
झूठ,correct_spelling
देता,correct_spelling
बड़े,correct_spelling
सच,correct_spelling
पांच,correct_spelling
कभी,correct_spelling
नाम,correct_spelling
दस,correct_spelling
बात,correct_spelling
जाना,correct_spelling
लेना,correct_spelling
पर,correct_spelling
नया,correct_spelling
दो,correct_spelling
तो,correct_spelling
कब,correct_spelling
लेता,correct_spelling
आठ,correct_spelling
नई,correct_spelling
हां,correct_spelling
को,correct_spelling
और,correct_spelling
सरकार,correct_spelling
चार,correct_spelling
औरत,correct_spelling
आपके,correct_spelling
लाख,correct_spelling
बस,correct_spelling
किया,correct_spelling
बड़ी,correct_spelling
हुआ,correct_spelling
अच्छा,correct_spelling
मेरे,correct_spelling
नौ,correct_spelling
उनका,correct_spelling
आदमी,correct_spelling
बोलना,correct_spelling
होते,correct_spelling
पैसा,correct_spelling
उन,correct_spelling
आपका,correct_spelling
आप,correct_spelling
आपकी,correct_spelling
देश,correct_spelling
अच्छे,correct_spelling
नहीं,correct_spelling
दिन,correct_spelling
दुनिया,correct_spelling
मैं,correct_spelling
घर,correct_spelling
थे,correct_spelling
थी,correct_spelling
छह,correct_spelling
पहले,correct_spelling
हज़ार,correct_spelling
जाती,correct_spelling
गलत,correct_spelling
सोचना,correct_spelling
जो,correct_spelling
करता,correct_spelling
करना,correct_spelling
अच्छी,correct_spelling
हम,correct_spelling
हो,correct_spelling
करती,correct_spelling
आती,correct_spelling
समय,correct_spelling
जगह,correct_spelling
कम,correct_spelling
ये,correct_spelling
चीज,correct_spelling
सही,correct_spelling
छोटा,correct_spelling
काम,correct_spelling
के,correct_spelling
सात,correct_spelling
ना,correct_spelling
गई,correct_spelling
तरीका,correct_spelling
या,correct_spelling
भी,correct_spelling
वह,correct_spelling
करोड़,correct_spelling
पुराना,correct_spelling
ज्यादा,correct_spelling
हुए,correct_spelling
उस,correct_spelling
सिर्फ,correct_spelling
बहुत,correct_spelling
कहाँ,correct_spelling
परिवार,correct_spelling
हमेशा,correct_spelling
मन,correct_spelling
आए,correct_spelling
दिया,correct_spelling
की,correct_spelling
है,correct_spelling
आता,correct_spelling
बताना,correct_spelling
जाता,correct_spelling
यह,correct_spelling
तीस,correct_spelling
आना,correct_spelling
बच्चा,correct_spelling
एक,correct_spelling
होता,correct_spelling
बीस,correct_spelling
हैिं,incorrect_spelling
करतासा,incorrect_spelling
कंप्यूटर,correct_spelling
aapka,incorrect_spelling
थाा,incorrect_spelling
बोलनाा,incorrect_spelling
समझाया,incorrect_spelling
